#,Jurisdiction,Kind,Publication Number,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Title,Applicants,Inventors,URL,Type,Full Text,Cited Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,PubMed Id(s),DOI(s),Non-Patent Citations
1,DE,A1,DE 102014219223 A1,159-160-211-027-81X,4/2/15,2015,DE 102014219223 A,9/24/14,US 201314042670 A 20130930,Autonomes Fahrzeug-unterhaltungssystem,FORD GLOBAL TECH LLC,CUDDIHY MARK A;;RAO MANOHARPRASAD K;;LE JIALIANG,https://lens.org/159-160-211-027-81X,unknown,no,0,6,6,0,B60W30/00;;B60K37/04;;B60R11/0229;;H04N21/2146;;H04N21/4122;;H04N21/41422,B60R16/02,,,,
2,DE,A1,DE 102014219236 A1,093-438-988-378-484,4/2/15,2015,DE 102014219236 A,9/24/14,US 201314041364 A 20130930,Autonomes Fahrzeug-unterhaltungssystem,FORD GLOBAL TECH LLC,CUDDIHY MARK A;;RAO MANOHARPRASAD K,https://lens.org/093-438-988-378-484,unknown,no,0,3,3,0,B60W30/00;;H04N21/41422,B60R16/02,,,,
3,US,A1,US 2015/0094896 A1,005-062-224-513-936,4/2/15,2015,US 201314041364 A,9/30/13,US 201314042670 A 20130930,Autonomous Vehicle Entertainment System,FORD GLOBAL TECH LLC,CUDDIHY MARK A;;RAO MANOHARPRASAD K,https://lens.org/005-062-224-513-936,Patent Application,yes,0,6,6,0,B60W30/00;;B60K37/04;;B60R11/0229;;H04N21/2146;;H04N21/4122;;H04N21/41422,B60W30/00;;H04N21/414,701/23,,,
4,US,B1,US 8818681 B1,098-833-311-543-507,8/26/14,2014,US 201313949894 A,7/24/13,US 201313949894 A 20130724,Detecting And Responding To Tailgaters,GOOGLE INC,DOLGOV DMITRI A;;NEMEC PHILIP;;AULA ANNE,https://lens.org/098-833-311-543-507,Granted Patent,yes,5,4,4,0,B60W30/16;;B62D15/025;;G05D1/00;;G05D1/0055;;G05D1/0287,G05D1/00;;G08G1/14;;G08G9/02,701/96;;701/93;;701/301;;701/451;;340/435;;340/436;;340/457;;340/901;;340/903;;180/167;;455/500,,10.1109/ivs.2012.6232275,"""Lane-Swapping Helps Autonomous Vehicles Avoid Collisions, Study Finds"" [online], ""http://phys.org/news/2013-01-lane-swapping-autonomous-vehicles-collisions.html"", Jan. 28, 2013, 1 page.;;Lamia Iftekhar, Safety-Aware Intelligent Transportation Systems: Cooperative Autonomous Driving for Vehicular Networks, Jun. 2012."
5,US,B1,US 8818682 B1,146-016-128-092-145,8/26/14,2014,US 201314096613 A,12/4/13,US 201313949894 A 20130724,Detecting And Responding To Tailgaters,GOOGLE INC,DOLGOV DMITRI A;;NEMEC PHILIP;;AULA ANNE,https://lens.org/146-016-128-092-145,Granted Patent,yes,4,4,4,0,B60W30/16;;B62D15/025;;G05D1/00;;G05D1/0055;;G05D1/0287,G05D1/00;;G08G1/14;;G08G9/02,701/96;;701/93;;701/301;;701/451;;340/435;;340/436;;340/467;;340/901;;340/903;;180/167;;455/500,,10.1109/ivs.2012.6232275,"""Lane-Swapping Helps Autonomous Vehicles Avoid Collisions, Study Finds"" [online], ""http://phys.org/news/2013-01-lane-swapping-autonomous-vehicles-collisions.html"", Jan. 28, 2013, 1 page.;;Lamia Iftekhar, Safety-Aware Intelligent Transportation Systems: Cooperative Autonomous Driving for Vehicular Networks, Jun. 2012."
6,US,B1,US 8880270 B1,084-390-524-827-898,11/4/14,2014,US 201313736937 A,1/8/13,US 201313736937 A 20130108,Location-aware Notifications And Applications For Autonomous Vehicles,GOOGLE INC,FERGUSON DAVE;;ZHU JIAJUN;;CLEMENT MANUEL CHRISTIAN,https://lens.org/084-390-524-827-898,Granted Patent,yes,22,1,1,0,B60W30/00;;G05D1/021;;G05D2201/0213;;G06Q50/10,G01C21/00;;G05D1/02,701/23;;701/516;;705/6,,,"D. Lavrinc,""Daily Deals Are Coming to Your Car"", Wired Autopia, Aug. 8, 2012, Wired.com / Conde Nast."
7,US,B1,US 9050977 B1,061-993-607-336-275,6/9/15,2015,US 201414320824 A,7/1/14,US 201313949894 A 20130724,Detecting And Responding To Tailgaters,GOOGLE INC,DOLGOV DMITRI A;;NEMEC PHILIP;;AULA ANNE,https://lens.org/061-993-607-336-275,Granted Patent,yes,2,4,4,0,B60W30/16;;B62D15/025;;G05D1/00;;G05D1/0055;;G05D1/0287,G06F17/00;;B60W30/16;;G05D1/02,,,10.1109/ivs.2012.6232275,"Lamia Iftekhar, Safety-Aware Intelligent Transportation Systems: Cooperative Autonomous Driving for Vehicular Networks, Jun. 2012.;;""Lane-Swapping Helps Autonomous Vehicles Avoid Collisions, Study Finds"" [online], ""http://phys.org/news/2013-01-lane-swapping-autonomous-vehicles-collisions.html"", Jan. 28, 2013, 1 page."
8,US,B1,US 9290181 B1,020-257-184-953-964,3/22/16,2016,US 201514703053 A,5/4/15,US 201313949894 A 20130724,Detecting And Responding To Tailgaters,GOOGLE INC,DOLGOV DMITRI A;;NEMEC PHILIP;;AULA ANNE KRISTIINA,https://lens.org/020-257-184-953-964,Granted Patent,yes,0,4,4,0,B60W30/16;;B62D15/025;;G05D1/00;;G05D1/0055;;G05D1/0287,G06F17/00;;B60W30/16,,,10.1109/ivs.2012.6232275,"Lamia Iftekhar, Safety-Aware Intelligent Transportation Systems: Cooperative Autonomous Driving for Vehicular Networks, Jun. 2012.;;""Lane-Swapping Helps Autonomous Vehicles Avoid Collisions, Study Finds"" [online], ""http://phys.org/news/2013-01-lane-swapping-autonomous-vehicles-collisions.html"", Jan. 28, 2013, 1 page."
9,US,B2,US 9272708 B2,194-576-978-458-584,3/1/16,2016,US 201314041364 A,9/30/13,US 201314042670 A 20130930,Autonomous Vehicle Entertainment System,FORD GLOBAL TECH LLC,CUDDIHY MARK A;;RAO MANOHARPRASAD K,https://lens.org/194-576-978-458-584,Granted Patent,yes,0,6,6,0,B60W30/00;;B60K37/04;;B60R11/0229;;H04N21/2146;;H04N21/4122;;H04N21/41422,B60W30/00;;H04N21/414,,,,"Kuchinskas, ""Crash Course: Training the Brain of a Driverless Car"", Apr. 11, 2013, http://www.scientificamerican.com/article.cfm?id=autonomous-driverless-car-brain.;;Szondy, ""University of Oxford Develops Low-Cost Self-Driving Car System"", Feb. 18, 2013, http://www.gizmag.com/oxford-robot-car/26282/.;;Berardini, ""Suzuki SXBox 360 Concept Car Pictures"", http://news.teamxbox.com/xbox/12494/Suzuki-SXBox-Xbox-360-Concept-Car-Pictures/ Dec. 28, 2006.;;Peter Murray, entitled ""Volkwagen's New 'Temporary Autopilot' is Cruise Control on Steroids,"" dated Jul. 11, 2011.;;Joseph Rose, entitled ""The driverless car's time has come in Oregon,"" dated Apr. 12, 2013.;;Alan Bellows, entitled ""The Many Benefits of the Self-Driving Cars of Tomorrow,"" dated Sep. 11, 2005."
10,CN,A,CN 104786953 A,092-072-133-720-862,7/22/15,2015,CN 201410522673 A,9/30/14,US 201314041364 A 20130930,Autonomous Vehicle Entertainment System,FORD GLOBAL TECH LLC,MANOHARPRASAD K RAO;;MARK A CUDDIHY,https://lens.org/092-072-133-720-862,Patent Application,no,0,3,3,0,B60W30/00;;H04N21/41422,B60R11/02;;B60R16/02,,,,
